scenario_id,mechanism,scenario_class,target_absent,tool,context,flagset,grade,evidence,validation_status,note
privesc1-CreateNewPolicyVersion--role,privesc1-CreateNewPolicyVersion,privesc,no,pmapper,admin,default,M,raw-output/pmapper/admin-default-2026-08-31/output/01-graph-create.stderr.txt,validated,"Crash-M per rubric 4.7, tally separately from detection-Ms: 'graph create' terminated on an unhandled botocore ConnectTimeoutError (autoscaling_edges.py catches ClientError only) and no graph was written; all 7 downstream commands failed. No principal was evaluated."
privesc1-CreateNewPolicyVersion--role,privesc1-CreateNewPolicyVersion,privesc,no,pmapper,admin,"flagged (--include-regions, 17 opted-in regions)",D,raw-output/pmapper/admin-flagged-2026-08-31/output/04-query-preset-privesc.txt,inferred,"Admin-verdict form: preset privesc prints 'role/privesc1-CreateNewPolicyVersion-role is an administrative principal'. Names the principal and the resulting privilege but NOT the enabling permission. Graded D because neither lower grade fits its own definition: P requires a permission bound to a principal (absent here) and M requires nothing in the output pointing a reviewer at the principal (false). INFERRED: the claim that PMapper's admin verdict derives from this mechanism is a reading of its output, not of its source. Precedent: analysis/validation/privesc-sre--user.md."
privesc1-CreateNewPolicyVersion--role,privesc1-CreateNewPolicyVersion,privesc,no,cloudfox,admin,default,P,raw-output/cloudfox/admin-default-2026-08-31/cloudfox-outdir/cloudfox-output/aws/personal-000000000000/csv/permissions.csv,validated,"Rubric 3 P / 4.1: permissions.csv binds the enabling permission to this specific principal (1 grant row(s): Allow iam:CreatePolicyVersion) but names no target and does not characterise it as escalation. Search: grep ',privesc1-CreateNewPolicyVersion-role,' csv/permissions.csv."
privesc1-CreateNewPolicyVersion--role,privesc1-CreateNewPolicyVersion,privesc,no,cloudfox-path,admin,default,N/A,raw-output/cloudfox/admin-default-2026-08-31/cloudfox-outdir/cloudfox-output/aws/personal-000000000000/csv/principals.csv,validated,"Rubric 4.9. cloudfox's CanPrivEscToAdmin? column reads 'Skipping, no pmapper data' in every one of its 140 instances this run (94 principals + 44 role-trusts + 1 root-trust + 1 workload). cloudfox documents that it delegates path enumeration to PMapper: 'Cloudfox will not install or run pmapper for you, but because pmapper stores it's graph data in a predictable location, this CloudFox command will look to see if that data exists, and if it does, it give you a list of all of the principals that pmapper thinks can escalate to admin.' -- https://github.com/BishopFox/cloudfox/wiki/AWS-Commands#pmapper ; quoted and sourced in raw-output/cloudfox/admin-default-2026-08-31/run-metadata.md. Recorded, NOT scored as a miss. cloudfox's own surfaces are graded on the 'cloudfox' rows above."
privesc1-CreateNewPolicyVersion--user,privesc1-CreateNewPolicyVersion,privesc,no,pmapper,admin,default,M,raw-output/pmapper/admin-default-2026-08-31/output/01-graph-create.stderr.txt,validated,"Crash-M per rubric 4.7, tally separately from detection-Ms: 'graph create' terminated on an unhandled botocore ConnectTimeoutError (autoscaling_edges.py catches ClientError only) and no graph was written; all 7 downstream commands failed. No principal was evaluated."
privesc1-CreateNewPolicyVersion--user,privesc1-CreateNewPolicyVersion,privesc,no,pmapper,admin,"flagged (--include-regions, 17 opted-in regions)",D,raw-output/pmapper/admin-flagged-2026-08-31/output/04-query-preset-privesc.txt,inferred,"Admin-verdict form: preset privesc prints 'user/privesc1-CreateNewPolicyVersion-user is an administrative principal'. Names the principal and the resulting privilege but NOT the enabling permission. Graded D because neither lower grade fits its own definition: P requires a permission bound to a principal (absent here) and M requires nothing in the output pointing a reviewer at the principal (false). INFERRED: the claim that PMapper's admin verdict derives from this mechanism is a reading of its output, not of its source. Precedent: analysis/validation/privesc-sre--user.md."
privesc1-CreateNewPolicyVersion--user,privesc1-CreateNewPolicyVersion,privesc,no,cloudfox,admin,default,P,raw-output/cloudfox/admin-default-2026-08-31/cloudfox-outdir/cloudfox-output/aws/personal-000000000000/csv/permissions.csv,validated,"Rubric 3 P / 4.1: permissions.csv binds the enabling permission to this specific principal (1 grant row(s): Allow iam:CreatePolicyVersion) but names no target and does not characterise it as escalation. Search: grep ',privesc1-CreateNewPolicyVersion-user,' csv/permissions.csv."
privesc1-CreateNewPolicyVersion--user,privesc1-CreateNewPolicyVersion,privesc,no,cloudfox-path,admin,default,N/A,raw-output/cloudfox/admin-default-2026-08-31/cloudfox-outdir/cloudfox-output/aws/personal-000000000000/csv/principals.csv,validated,"Rubric 4.9. cloudfox's CanPrivEscToAdmin? column reads 'Skipping, no pmapper data' in every one of its 140 instances this run (94 principals + 44 role-trusts + 1 root-trust + 1 workload). cloudfox documents that it delegates path enumeration to PMapper: 'Cloudfox will not install or run pmapper for you, but because pmapper stores it's graph data in a predictable location, this CloudFox command will look to see if that data exists, and if it does, it give you a list of all of the principals that pmapper thinks can escalate to admin.' -- https://github.com/BishopFox/cloudfox/wiki/AWS-Commands#pmapper ; quoted and sourced in raw-output/cloudfox/admin-default-2026-08-31/run-metadata.md. Recorded, NOT scored as a miss. cloudfox's own surfaces are graded on the 'cloudfox' rows above."
privesc2-SetExistingDefaultPolicyVersion--role,privesc2-SetExistingDefaultPolicyVersion,privesc,yes,pmapper,admin,default,M,raw-output/pmapper/admin-default-2026-08-31/output/01-graph-create.stderr.txt,validated,"Crash-M per rubric 4.7, tally separately from detection-Ms: 'graph create' terminated on an unhandled botocore ConnectTimeoutError (autoscaling_edges.py catches ClientError only) and no graph was written; all 7 downstream commands failed. No principal was evaluated. Validation: analysis/validation/privesc2-SetExistingDefaultPolicyVersion--role.md."
privesc2-SetExistingDefaultPolicyVersion--role,privesc2-SetExistingDefaultPolicyVersion,privesc,yes,pmapper,admin,"flagged (--include-regions, 17 opted-in regions)",M,raw-output/pmapper/admin-flagged-2026-08-31/output/04-query-preset-privesc.txt,validated,Absent from 04-query-preset-privesc.txt and from 06-analysis-text.txt (exact-string search on the principal ARN suffix). Validation: analysis/validation/privesc2-SetExistingDefaultPolicyVersion--role.md.
